date,price,open,high,low,vol,change
2018-04-09,638.43 ,655.84 ,683.19 ,627.55 ,88.08K,-2.66%
2018-04-08,655.86 ,642.17 ,664.38 ,641.63 ,48.34K,2.16%
2018-04-07,642.01 ,610.95 ,656.10 ,610.51 ,54.52K,5.03%
2018-04-06,611.25 ,642.74 ,647.57 ,603.82 ,74.50K,-4.90%
2018-04-05,642.72 ,650.64 ,657.98 ,620.03 ,80.36K,-1.16%
2018-04-04,650.24 ,709.39 ,709.90 ,638.08 ,102.04K,-8.34%
2018-04-03,709.40 ,663.71 ,723.76 ,659.64 ,95.96K,6.90%
2018-04-02,663.58 ,644.91 ,686.94 ,639.64 ,90.02K,2.90%
2018-04-01,644.91 ,685.09 ,699.56 ,626.86 ,124.69K,-5.88%
2018-03-31,685.23 ,697.35 ,736.86 ,682.24 ,109.44K,-1.75%
2018-03-30,697.43 ,711.35 ,772.92 ,675.37 ,186.47K,-1.98%
2018-03-29,711.53 ,861.37 ,869.36 ,697.93 ,201.24K,-17.39%
2018-03-28,861.35 ,876.15 ,898.04 ,850.83 ,84.56K,-1.75%
2018-03-27,876.65 ,912.94 ,927.96 ,873.37 ,79.45K,-3.99%
2018-03-26,913.11 ,972.75 ,977.44 ,884.37 ,87.80K,-6.14%
2018-03-25,972.82 ,974.37 ,991.15 ,966.31 ,56.96K,-0.16%
2018-03-24,974.40 ,1028.88 ,1035.32 ,973.05 ,69.55K,-5.29%
2018-03-23,1028.86 ,1014.88 ,1028.86 ,963.13 ,81.47K,1.38%
2018-03-22,1014.88 ,1030.31 ,1064.03 ,986.94 ,83.26K,-1.50%
2018-03-21,1030.31 ,1062.67 ,1084.49 ,1009.01 ,92.99K,-3.03%
2018-03-20,1062.53 ,994.27 ,1072.74 ,951.50 ,126.82K,6.89%
2018-03-19,994.06 ,933.78 ,999.51 ,910.16 ,113.42K,6.45%
2018-03-18,933.78 ,947.83 ,947.83 ,847.49 ,127.48K,-1.48%
2018-03-17,947.85 ,973.38 ,1029.66 ,928.53 ,103.64K,-2.67%
2018-03-16,973.86 ,940.77 ,1060.71 ,898.78 ,130.73K,3.50%
2018-03-15,940.94 ,947.83 ,955.06 ,874.46 ,87.53K,-0.73%
