,period,username,date,retweets,favorites,hashtags,text
120,201921,maxkeiser,2019-07-12 01:09:33+00:00,120,486,#Bitcoin #Bitcoin,"Hey world, on this day both the Fed chair and POTUS admitted publicly they fear #Bitcoin. And for good reason. You know what to do, right? $100,000 is now in play."
121,201921,maxkeiser,2019-07-12 01:05:51+00:00,25,145,#Bitcoin #Bitcoin,"#Bitcoin will now humble the ‘Word’s Most Powerful Man.’ The world, I think, will have their ‘Emperor’s got no clothes’ moment regarding the $USD. As BTC openly mocks Trump - and it will get worse - how does he come back from that? 2020 is now in play. Trump just blew it."
122,201921,maxkeiser,2019-07-12 00:56:01+00:00,45,228,#Bitcoin #Bitcoin,"#Bitcoin trades up on Trump gaffe. Keep talking Mr. President. See you at $100,000."
123,201921,maxkeiser,2019-07-12 00:53:25+00:00,11,93,#Bitcoin #Bitcoin,Trump’s #Bitcoin gaffe might be his ‘Pepe the frog’ moment for 2020.
124,201921,maxkeiser,2019-07-12 00:49:55+00:00,8,22,#Bitcoin #Bitcoin,Silliest #Bitcoin permanoob!
125,201921,maxkeiser,2019-07-11 20:10:21+00:00,13,73,#Bitcoin #Bitcoin #BCH,So Fed chair Jerome Powell understands #Bitcoin better than Bitcoin_Cash folks? #BCH
126,201921,maxkeiser,2019-07-11 00:26:54+00:00,18,132,#Bitcoin #Bitcoin,New 5-yr high for Gold. Still no thank-you from any Gold bugs for #Bitcoin making Hard Money fashionable again.
127,201921,maxkeiser,2019-07-10 23:10:37+00:00,7,11,,"La principal ventaja del Bitcoin sobre el oro, según Max Keiser – CRIPTO TENDENCIA "
128,201921,maxkeiser,2019-07-10 22:38:44+00:00,39,248,#Bitcoin #Bitcoin,"I dumped $100,000 in worthless fiat out of an armored truck today in Atlanta. This stuff is poison. #Bitcoin "
129,201921,maxkeiser,2019-07-10 13:58:35+00:00,11,47,#Bitcoin #Bitcoin,"The market is telling us there’s big demand for #Bitcoin and there’s little demand for alts. Looking at the market over 10 yrs, the drift of alts to near zero has been a dominant theme. The BTC Hard Forks (and @CNBCFastMoney’s shoddy reporting), kept alts alive... until now."
130,201921,maxkeiser,2019-07-10 13:47:27+00:00,5,22,,Max Keiser: Institutional FOMO Will Lead to Bigger Moves for Bitcoin https://www.newsbtc.com/2019/05/14/max-keiser-institutional-fomo-will-lead-to-bigger-moves-for-bitcoin/
